Restaurant,City,Rating,ReviewCount,PriceRange,Cuisine
Red Rabbit Grill,Rexburg,4.8,5000,$$,Burgers
Sparks Barbecue,Rexburg,4.7,1500,$$,Barbecue
Casa De Ochoa,Rexburg,4.6,500,$$,Mexican
Mo'Bettahs Hawaiian Style Food,Rexburg,4.5,300,$,Hawaiian
The Graze Cafe,Rexburg,4.4,70,$,Cafe
Big Jud's,Archer,4.7,2000,$,Burgers
Righteous Slice,Rexburg,4.8,3000,$$,Pizza
Kingdom of Pho,Rexburg,4.6,450,$$,Vitenamese
Millhollow,Rexburg,4.5,1000,$,Sandwiches
Frostop Drive-In,Ashton,4.4,800,$,Burgers
Tche Brazilian Grill,Idaho Falls,4.5,1700,$$$,Brazilian
Smokin Fins,Idaho Falls,4.4,2000,$$$,Seafood
Sully's GastroPub,Idaho Falls,4.0,1500,$$$,Burgers
Abracadabrast,Idaho Falls,4.3,1200,$$,Breakfast
